EvaluationIndex,LevelIndex,Score,LevelStatus
1,583,51240,Pass
2,68,28520,Pass
3,934,30120,Pass
4,340,27970,Pass
5,627,14520,Fail
6,718,69260,Pass
7,742,63600,Pass
8,949,18070,Fail
9,1017,830,Fail
10,1112,15440,Fail
11,434,17490,Fail
12,709,37180,Fail
13,1092,8820,Fail
14,977,4480,Fail
15,1061,19960,Fail
16,1240,17480,Fail
17,634,41090,Fail
18,280,28140,Pass
19,868,24690,Fail
20,508,11230,Fail
21,685,34350,Fail
22,509,30780,Fail
23,1089,38510,Fail
24,880,38890,Fail
25,510,31310,Pass
26,620,34420,Fail
27,136,17470,Fail
28,7,23360,Fail
29,323,16980,Pass
30,635,29070,Fail
31,902,15750,Fail
32,956,23050,Fail
33,1092,7000,Fail
34,1141,41490,Fail
35,431,40010,Fail
36,242,23730,Pass
37,545,48900,Pass
38,73,28000,Pass
39,1024,51330,Fail
40,48,31690,Fail
41,1094,40260,Fail
42,862,38370,Fail
43,1109,49270,Pass
44,929,5740,Fail
45,1286,11080,Fail
46,32,18030,Fail
47,138,16830,Fail
48,269,30480,Pass
49,132,26780,Fail
50,941,31630,Fail
51,536,20980,Fail
52,250,21760,Pass
53,260,9140,Fail
54,850,5140,Fail
55,617,15960,Fail
56,388,29000,Pass
57,88,24730,Pass
58,231,33500,Pass
59,57,28260,Fail
60,1218,1470,Fail
61,703,75920,Pass
62,580,22810,Fail
63,332,16960,Pass
64,484,31490,Fail
65,723,29410,Fail
66,677,27390,Fail
67,743,70230,Pass
68,1067,42200,Pass
69,459,19950,Fail
70,1141,15000,Fail
71,111,27090,Fail
72,403,23690,Fail
73,609,7470,Fail
74,457,10300,Fail
75,729,41180,Fail
76,497,60500,Pass
77,1155,29630,Fail
78,729,51260,Fail
79,1276,71350,Pass
80,209,30470,Pass
81,716,24210,Fail
82,410,34840,Fail
83,144,29360,Fail
84,861,20520,Fail
85,775,61940,Pass
86,232,9340,Fail
87,1080,38470,Pass
88,587,31000,Fail
89,925,43280,Fail
90,1082,35120,Fail
91,665,14700,Fail
92,144,27890,Fail
93,1196,10590,Fail
94,929,9520,Fail
95,390,15220,Pass
96,1144,34900,Fail
97,1080,14040,Fail
98,1263,24780,Fail
99,395,16430,Pass
100,1199,7690,Fail
101,674,61330,Fail
102,511,60150,Pass
103,955,18840,Fail
104,359,39430,Pass
105,909,4020,Fail
106,233,34520,Pass
107,1298,31430,Fail
108,280,20560,Pass
109,348,1310,Fail
110,700,1910,Fail
111,879,32310,Fail
112,692,50560,Fail
113,514,14270,Fail
114,338,28120,Pass
115,1020,18150,Fail
116,798,54050,Fail
117,1035,54500,Pass
118,1246,22170,Fail
119,586,1400,Fail
120,380,32640,Pass
121,346,16460,Pass
122,526,27280,Fail
123,473,42060,Fail
124,537,21090,Fail
125,1140,63810,Pass
126,534,40180,Fail
127,1217,20760,Fail
128,1083,23510,Fail
129,789,34500,Fail
130,1147,32850,Fail
131,541,49450,Pass
132,771,36210,Fail
133,1029,35970,Fail
134,1254,15110,Fail
135,664,46840,Fail
136,782,69520,Pass
137,1171,24400,Fail
138,1194,9300,Fail
139,917,30500,Fail
140,1086,6350,Fail
141,382,28500,Pass
142,750,70470,Pass
143,1028,29760,Fail
144,678,9450,Fail
145,787,43480,Fail
146,645,33140,Fail
147,623,19110,Fail
148,23,33030,Fail
149,554,10870,Fail
150,220,4180,Fail
151,112,41520,Fail
152,201,500,Fail
153,80,17820,Fail
154,1218,1450,Fail
155,101,37330,Fail
156,229,5650,Pass
157,155,22880,Fail
158,1080,36380,Pass
159,268,3960,Fail
160,156,42780,Fail
161,628,31250,Fail
162,863,9740,Fail
163,1171,6080,Fail
164,1017,1830,Fail
165,208,46060,Pass
166,226,33700,Pass
167,1285,1030,Fail
168,962,3620,Fail
169,1005,16520,Fail
170,20,61340,Pass
171,254,2750,Fail
172,550,41080,Fail
173,1263,58920,Fail
174,993,22970,Fail
175,501,36330,Fail
176,816,24520,Fail
177,994,23480,Fail
178,7,26110,Fail
179,1142,17560,Fail
180,1206,32570,Fail
181,718,42550,Fail
182,361,24250,Pass
183,1222,21380,Fail
184,998,40940,Fail
185,1022,32330,Fail
186,537,18130,Fail
187,477,20510,Fail
188,18,17270,Pass
189,134,47080,Fail
190,1012,49980,Pass
191,969,38290,Fail
192,958,15280,Fail
193,22,21040,Pass
194,804,36470,Pass
195,284,29210,Pass
196,722,24820,Fail
197,308,1000,Fail
198,660,1410,Fail
199,115,15230,Fail
200,814,9360,Fail
201,1209,16690,Fail
202,829,11940,Fail
203,1203,29870,Fail
204,863,6130,Fail
205,137,51810,Fail
206,494,58840,Pass
207,192,19650,Fail
208,1191,36270,Fail
209,279,30110,Pass
210,97,28320,Fail
211,859,1500,Fail
212,659,53230,Fail
213,610,5960,Fail
214,669,25300,Fail
215,1182,33510,Fail
216,1030,41610,Pass
217,1291,30340,Fail
218,526,40210,Pass
219,685,22550,Fail
220,1104,19030,Fail
221,1292,7730,Fail
222,956,23820,Fail
223,616,21160,Fail
224,1035,56620,Pass
225,416,8900,Fail
226,373,21480,Pass
227,1035,47690,Pass
228,955,21140,Fail
229,657,34940,Fail
230,709,36650,Fail
231,505,44620,Fail
232,26,21400,Fail
233,968,16290,Fail
234,481,41670,Fail
235,762,63230,Pass
236,1093,16260,Fail
237,974,19950,Fail
238,1100,19890,Fail
239,374,33380,Pass
240,807,39050,Pass
241,892,28720,Fail
242,481,9440,Fail
243,51,54570,Fail
244,403,3850,Fail
245,699,1500,Fail
246,341,3000,Fail
247,120,28000,Pass
248,1251,14630,Fail
249,1147,46700,Fail
250,828,25600,Fail
251,789,41450,Fail
252,188,73930,Pass
253,180,29010,Fail
254,924,21340,Fail
255,431,30700,Fail
256,403,8420,Fail
257,214,41750,Pass
258,74,24960,Fail
259,955,23130,Fail
260,1149,4040,Fail
261,611,7320,Fail
262,1143,28930,Fail
263,478,28390,Fail
264,48,14260,Fail
265,311,48990,Pass
266,804,36630,Pass
267,229,26190,Pass
268,1185,40110,Fail
269,179,47550,Fail
270,833,27540,Fail
271,1187,29200,Fail
272,361,2190,Fail
273,159,48220,Pass
274,734,85440,Pass
275,500,38760,Fail
276,555,58850,Pass
277,1253,14920,Fail
278,485,18320,Fail
279,704,42750,Fail
280,203,43860,Pass
281,15,1040,Fail
282,947,31820,Pass
283,573,25440,Fail
284,850,5830,Fail
285,993,19150,Fail
286,1137,20410,Fail
287,635,34560,Fail
288,435,28470,Fail
289,998,25670,Fail
290,967,18550,Fail
291,245,5430,Fail
292,636,12830,Fail
293,855,17160,Fail
294,928,13520,Fail
295,1193,11680,Fail
296,669,25580,Fail
297,664,44840,Fail
298,296,4680,Fail
299,836,16510,Fail
300,675,36680,Fail
301,464,30760,Fail
302,1120,18000,Fail
303,746,47330,Fail
304,954,14420,Fail
305,517,21660,Fail
306,14,43780,Fail
307,1209,19890,Fail
308,1209,15800,Fail
309,880,36390,Fail
310,683,1390,Fail
311,109,40370,Fail
312,386,34450,Pass
313,362,41230,Pass
314,909,5200,Fail
315,325,13960,Fail
316,106,28040,Fail
317,761,74770,Pass
318,809,41550,Fail
319,468,26000,Fail
320,1282,8920,Fail
